Designator,Mid X,Mid Y,Rotation,Layer
C101,197.55,-106.45,270.0,top
C102,199.55,-106.45,270.0,top
C103,199.75,-97.65,0.0,top
C104,195.55,-106.45,270.0,top
C105,201.3,-106.3,270.0,top
C106,199.75,-99.4,0.0,top
C107,192.3,-93.1,90.0,top
C108,195.3,-93.1,90.0,top
C109,189.3,-106.65,270.0,top
C110,212.7,-91.6,270.0,top
C111,190.8,-106.65,270.0,top
C112,212.7,-102.8,90.0,top
C113,193.8,-93.1,90.0,top
C114,218.45,-95.05,270.0,top
C115,198.45,-94.85,90.0,top
C116,193.05,-107.4,180.0,top
C117,196.8,-93.1,90.0,top
C118,212.7,-97.2,90.0,top
C119,199.95,-94.85,90.0,top
C120,193.05,-105.9,180.0,top
C121,185.5,-101.9,180.0,top
C122,197.0,-110.2,270.0,top
C123,203.3,-91.6,270.0,top
C124,187.8,-106.65,270.0,top
C125,203.3,-102.8,90.0,top
C126,184.2,-109.25,180.0,top
C127,189.4,-90.8,180.0,top
C128,186.5,-93.3,90.0,top
C129,203.3,-97.2,90.0,top
C130,180.9,-109.25,180.0,top
C131,184.2,-103.4,0.0,top
D101,189.8,-114.9,90.0,top
D102,210.0,-114.9,90.0,top
D103,199.8,-115.1,90.0,top
J101,177.6575,-100.0,180.0,top
J103,223.2725,-100.0,0.0,top
L101,199.8,-102.45,90.0,top
Q101,217.0375,-101.85,180.0,top
R101,189.8,-111.6,270.0,top
R102,210.0,-111.6,270.0,top
R103,198.5,-110.2,270.0,top
R104,194.0,-110.2,270.0,top
R105,195.5,-110.2,270.0,top
R106,214.3375,-101.85,90.0,top
R107,218.1,-97.5,0.0,top
U101,184.5,-99.4,180.0,top
U102,192.5,-100.0,180.0,top
U103,184.2,-106.2,90.0,top
U104,208.0,-94.4,0.0,top
U105,208.0,-100.0,0.0,top
U106,208.0,-105.6,0.0,top
U107,215.65,-95.05,180.0,top
Y101,189.4,-93.3,0.0,top
